species	strain	sex	food_substrate	consumption_time_seconds
D. melanogaster	Canton-S	female	grape_juice	73
D. melanogaster	Canton-S	female	grape_juice	61
D. melanogaster	Canton-S	female	grape_juice	84
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	61
D. melanogaster	Canton-S	female	noni_juice	19
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	grape_juice	94
D. melanogaster	Canton-S	female	grape_juice	82
D. melanogaster	Canton-S	female	grape_juice	58
D. melanogaster	Canton-S	female	200mM_sucrose	108
D. melanogaster	Canton-S	female	200mM_sucrose	88
D. melanogaster	Canton-S	female	200mM_sucrose	96
D. melanogaster	Canton-S	female	200mM_sucrose	113
D. melanogaster	Canton-S	female	200mM_sucrose	39
D. melanogaster	Canton-S	female	noni_juice	1
D. melanogaster	Canton-S	female	noni_juice	22
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	noni_juice	0
D. melanogaster	Canton-S	female	grape_juice	115
D. melanogaster	Canton-S	female	noni_juice	52
D. melanogaster	Canton-S	female	noni_juice	3
D. melanogaster	Canton-S	female	noni_juice	6
D. melanogaster	Canton-S	female	grape_juice	63
D. melanogaster	Canton-S	female	grape_juice	84
D. melanogaster	Canton-S	female	grape_juice	33
D. melanogaster	Canton-S	female	200mM_sucrose	33
D. melanogaster	Canton-S	female	200mM_sucrose	15
D. simulans	04	female	200mM_sucrose	52
D. simulans	04	female	200mM_sucrose	86
D. simulans	04	female	200mM_sucrose	71
D. simulans	04	female	noni_juice	0
D. simulans	04	female	noni_juice	7
D. simulans	04	female	noni_juice	32
D. simulans	04	female	noni_juice	29
D. simulans	04	female	grape_juice	48
D. simulans	04	female	grape_juice	70
D. simulans	04	female	grape_juice	59
D. simulans	04	female	grape_juice	66
D. simulans	04	female	200mM_sucrose	65
D. simulans	04	female	200mM_sucrose	87
D. simulans	04	female	200mM_sucrose	10
D. simulans	04	female	200mM_sucrose	19
D. simulans	04	female	200mM_sucrose	61
D. simulans	04	female	grape_juice	46
D. simulans	04	female	grape_juice	44
D. simulans	04	female	grape_juice	54
D. simulans	04	female	grape_juice	39
D. simulans	04	female	grape_juice	65
D. simulans	04	female	noni_juice	5
D. simulans	04	female	noni_juice	32
D. simulans	04	female	noni_juice	50
D. simulans	04	female	noni_juice	47
D. simulans	04	female	200mM_sucrose	74
D. simulans	04	female	200mM_sucrose	31
D. simulans	04	female	200mM_sucrose	0
D. simulans	04	female	200mM_sucrose	85
D. simulans	04	female	grape_juice	51
D. simulans	04	female	grape_juice	54
D. simulans	04	female	noni_juice	3
D. simulans	04	female	noni_juice	0
D. simulans	04	female	noni_juice	12
D. simulans	04	female	noni_juice	15
D. simulans	04	female	200mM_sucrose	44
D. simulans	04	female	grape_juice	72
D. simulans	04	female	grape_juice	33
D. simulans	04	female	noni_juice	61
D. simulans	04	female	noni_juice	44
D. simulans	04	female	noni_juice	0
D. simulans	04	female	grape_juice	49
D. simulans	04	female	200mM_sucrose	78
D. sechellia	07	female	grape_juice	23
D. sechellia	07	female	grape_juice	17
D. sechellia	07	female	grape_juice	28
D. sechellia	07	female	noni_juice	23
D. sechellia	07	female	noni_juice	0
D. sechellia	07	female	noni_juice	18
D. sechellia	07	female	noni_juice	34
D. sechellia	07	female	noni_juice	28
D. sechellia	07	female	noni_juice	32
D. sechellia	07	female	200mM_sucrose	59
D. sechellia	07	female	200mM_sucrose	64
D. sechellia	07	female	200mM_sucrose	12
D. sechellia	07	female	200mM_sucrose	22
D. sechellia	07	female	200mM_sucrose	24
D. sechellia	07	female	noni_juice	10
D. sechellia	07	female	noni_juice	36
D. sechellia	07	female	noni_juice	56
D. sechellia	07	female	noni_juice	29
D. sechellia	07	female	grape_juice	20
D. sechellia	07	female	grape_juice	10
D. sechellia	07	female	grape_juice	15
D. sechellia	07	female	grape_juice	11
D. sechellia	07	female	200mM_sucrose	37
D. sechellia	07	female	200mM_sucrose	20
D. sechellia	07	female	200mM_sucrose	6
D. sechellia	07	female	200mM_sucrose	0
D. sechellia	07	female	200mM_sucrose	14
D. sechellia	07	female	grape_juice	12
D. sechellia	07	female	grape_juice	7
D. sechellia	07	female	grape_juice	18
D. sechellia	07	female	grape_juice	23
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	noni_juice	39
D. sechellia	07	female	noni_juice	24
D. sechellia	07	female	noni_juice	19
D. sechellia	07	female	noni_juice	24
D. sechellia	07	female	200mM_sucrose	8
D. sechellia	07	female	200mM_sucrose	5
D. sechellia	07	female	200mM_sucrose	13
D. sechellia	07	female	noni_juice	28
D. sechellia	07	female	grape_juice	0
D. sechellia	07	female	grape_juice	15
