species	strain	sex	PC1	PC2
D. melanogaster	Canton-S	female	2.3871787120297485	8.869029554093716e-4
D. melanogaster MPAR	Canton-S	female	-0.8427767044968164	-1.6021796732851696
D. melanogaster	Oregon-R	female	2.221858533531528	4.446081086222976
D. melanogaster	w1118	female	1.9729713437410643	2.699177070963448
D. sechellia	07	female	-3.128150615596976	0.8002614032930495
D. sechellia MPAR	07	female	-3.616014627278306	-2.227180958486944
D. sechellia	28	female	-4.105835787280496	0.7049303430780341
D. sechellia	30	female	-2.6467380890268113	2.032784925674457
D. simulans	04	female	2.964039119690949	-2.2136836821531007
D. simulans MPAR	04	female	0.44029227205155497	-3.1621118652697424
D. simulans	195	female	4.0297783644509255e-4	-0.12851326369660995
D. simulans	196	female	4.352772864798113	-1.3504522892958124
